name,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01
YANA,6.267885793817462,10.566325542425865,20.84104159226066,35.16903376190556,39.852943466077676,36.44257566593064,31.65457727869446,20.665917772747225,12.206056368603877,8.924910832035188,5.040231688352368,3.712126720434526,4.29474975911648,5.8801547886654015,16.607729798972652,33.96223887534209,41.58467101684599,38.82783528719565,29.211678234292677,16.364115690494334,10.165619227108573,8.005829768123478,5.627185315322986,4.503236318240583,4.912746305167606,8.877975315992352,16.47212798779444,40.31950894634742,65.62781447912546,52.32265955482519,25.560252414698994,14.661960451780603,8.947829321728644,5.840959000879585,5.647767953017237,5.94825735127592,5.214904383948511,5.554107340919497,22.541697205428676,48.22448187941984,51.476717821302906,42.09003196525858,32.17877837026274,20.898420682703332,14.569986137123841,9.759744358539654,7.595174188936402,7.4428881859743825,5.692873044856616,10.705615036589057,26.33684656617722,44.23205158608449,53.057985226242295,48.64007016454429,36.17855965654305,20.733496733271505,10.267695159950643,7.864005794386351,7.631916854912639,7.44876894030904,7.913842750998057,10.762321307626523,22.397538148831504,37.18494209379252,40.52525926971389,33.155615026157406,21.42953651752775,12.282030825818083,10.207301503573747,8.818258078315422,5.498762219663917,4.78596870329162,7.174403256209556,13.549682052068741,21.657497847903006,27.560514673513683,33.36269491003065,36.050538412611935,31.953533317255722,22.652865654355924,13.038221379097438,7.4972505427760865,5.4624413766771704,4.9489121228777115,5.601546450786798,10.884367916338135,23.913477993249547,36.1587111766232,37.87976328195773,30.66876150508362,19.664513316009298,12.689581044618338,11.281028952105082,9.915999058111597,7.7540238241337915,6.853502231287748,7.203068975823805,8.150112738408863,17.164026078202784,34.60205480638631,40.96323521158704,33.40989383171853,26.82465079671586,20.019826436253933,11.072706350896842,6.1929120841687775,5.308741306124171,5.417815186190135,6.685110651388093,13.581287093624423,24.880744353478466,34.34888503122489,42.416976090958094,40.188611570345834,24.950600513606428,13.749646075954884,9.775046556244089,6.9613024483396595,4.710172220268716,3.9941521642336864,4.923314194479638,9.585947084464356,22.95704934922917,41.2904575487299,47.41309346187618,38.296411630700746,27.41255453728981,17.156737192525643,9.582592090898538,6.584513946356292,6.393396724829476,6.970051635815946,6.768133447724395,9.390212952374219,24.69153721140494,43.086145811085224,47.57992530041536,41.7836221246886,27.525970897932165,15.404000324595012,9.208507869579257
THELON,10.379030706817487,13.79359350855672,20.156827108885885,31.57583809673116,43.085208946359714,43.67807864188542,31.707503233189218,19.54015401877883,15.52936520338454,13.178506624829016,9.115909403054722,8.983382470308557,11.239532634353143,12.900045893314477,16.45632918614791,19.161910251246336,22.509727053563303,29.778303776233138,33.003759407349975,28.624924677723314,21.062786519702676,15.25611015754565,13.459781975613854,14.389959584019058,17.792021942268505,21.564851322159413,25.040028145512068,32.76954957117337,42.66841673987418,47.71449979226004,45.430873996513114,34.448686295686144,20.81752030445611,13.056186610821708,10.963190245696968,12.516940472531875,18.392689389514814,22.339792577329973,22.21017109443214,31.12747172340774,44.88428951542833,43.26949681563771,31.99084567626563,27.577216556650065,22.668867460274647,14.056266409835947,8.680236602906666,6.4473624135182055,8.518691981883826,12.07677624515882,14.389552530208704,21.351747755708786,34.56781544862437,41.41759211391381,38.29935173872341,30.53763006943013,19.19913402064195,13.116219995121877,10.76130512462947,9.17583195077096,11.499166368718043,11.312489933499036,12.0984451540522,18.204943202617763,31.44458431837994,45.96225038371459,45.103917251272804,33.90998473604395,21.31020696269521,12.146738414209846,11.103983406285764,11.614111161483816,11.768303717773957,11.899125590295132,14.113573656826937,26.46150767132169,42.72178740953997,47.41420818856383,38.35303019243768,26.4809202031213,18.38519618668453,12.746530294951743,9.43685094382937,7.583414168373543,8.668678327840622,12.071915525150843,16.413391521117482,25.45011032362057,33.13712850640806,33.39278937799502,31.879565932264022,26.940815586487638,17.608151652982173,11.077049788781135,8.351185260615047,7.626332152467408,8.928067869611258,9.373646364368296,11.66657762583994,21.75704530435072,33.197173179438316,36.67735024967776,35.409724811605344,31.326264752915115,20.276770918989595,10.73025625796594,7.9897302028083494,10.97350321671163,16.516104926359482,16.716604942293475,14.513049607137233,25.70404406213307,44.685272054232286,45.73904203489985,37.19995730576317,31.080487594459,20.822869485711646,11.761302752983855,8.71775514270242,7.894195021985578,8.677067355127022,12.911518734678003,18.36998162093851,28.235239443299392,37.62623065161452,40.99618022588584,43.030006505485325,33.632411307115916,17.425204619464225,10.729378253250388,8.731698721134816,6.692409032432551,7.847461501380133,11.398975255908237,14.494062527959645,23.036693363957557,37.71135717879797,43.258858846741,36.05298897683137,25.694901732853054,18.548030087740802
THORGAY,11.483396950858216,18.562768218960162,30.507525870361935,38.96357848837016,31.63044294385276,16.157092231996216,12.040866234157562,16.232692748957035,14.795847014410649,10.508464834760959,10.413151619184266,12.04885666465926,14.47270044134237,16.475221740156645,14.04792573823122,15.927155111050451,23.348959570658717,21.554566523167505,15.445877498092784,17.301634802361587,22.016459741976167,21.72633774964442,14.392142677114371,11.080835977609533,13.70859531272979,15.07099491736929,17.229913463211805,18.704779414227087,20.122261687569072,17.847599532772495,13.912975437432435,13.89786114246913,11.93730550630949,9.747262090701378,11.322153375094352,13.094954153371887,14.363324804761367,19.97553370876243,23.311410846779662,18.821651931968777,15.629021996934668,16.314740978320206,17.50177941547583,18.562236716317003,18.07968502920697,14.511395945082578,13.216351420359493,15.282149022429204,16.70138218394682,19.070910748254846,19.330435666643904,16.908904635408813,13.02200170457931,8.949728601229408,8.313118160261755,9.679113252156627,10.20682886214403,9.211964448024597,9.93675978281584,14.410380941161172,16.881727958378267,15.795222560200472,17.560840317519098,18.913723025337664,15.869505474819823,11.47875738477223,13.319139714523404,17.178244217831594,13.65619805591877,11.90159320482676,11.971637584737849,11.15712320960368,15.897676300018452,22.625559320085994,25.021915784086843,19.50818407713801,18.381185733294178,22.54831521860866,18.090465609163783,15.189569301882953,15.151569934802914,13.299892414507168,12.965505806750606,13.882294759223845,18.806761087213115,22.69912516034069,16.58290203527626,10.44193466574536,11.287138421288178,9.373081553318587,9.886725507662973,15.620619333430747,16.325004510743472,12.884868981405512,11.332323990390465,13.43811122334175,15.929169679783001,16.61531708580688,19.23531219983897,22.07010111040326,19.28404410672266,14.397502945071851,12.926333762165973,15.230189393635463,18.01460436611651,14.284581574622175,7.050962502500762,8.727604089847075,14.655450487169949,16.550461654469952,20.748001445160813,24.757041169707843,23.336288666993443,17.691795754125867,11.807137366542873,11.063598080356904,12.815220293884417,15.407670213270782,16.094406270302578,13.934112653282513,16.814592421252467,20.09785912840047,19.049998818909526,22.72913578977877,27.08661618309178,21.48934194933842,12.544072694835997,8.991481278248537,11.5004062196828,17.500995745625904,17.799884544315304,11.391267049341302,7.7205566093027285,9.422719261705359,11.755409776132751,12.805286927905032,13.623758191547756,12.828573872157781,14.957311872635108,18.585251727822435,16.819835393035763
KRISHNA,11.01229601040966,26.64657392669389,54.12357406271083,99.95796826675311,135.84602075884197,126.39670766687597,104.4215493197602,82.62992776100944,41.079424464221376,13.54995091505536,7.073364062889592,3.9613964832009865,10.48372234729242,34.85876834093874,68.56434648346652,109.87989085389736,147.56153917679805,152.57083221068308,120.63752474635606,58.474848734007566,11.78684592329742,2.5999666534178396,2.850111391663782,2.783138568064405,9.409670311102154,25.944923102167035,62.25950245462736,141.67034756642016,192.92439456020745,172.54377582336838,148.24637225420776,109.19792497991116,49.739183555390134,12.075591588712056,1.4545057516771656,6.674261492917473,14.91375182472839,30.87826410629198,72.53031783822247,131.94114649286777,162.9694100340729,161.49125634765588,146.77091419109982,102.43400765004766,46.89292164777713,13.586473576454468,2.865197051359278,2.785320674904831,11.424223064120088,29.886837092787562,78.2086003671433,140.30429634065868,152.82792097587625,160.52957050230555,161.6744510563401,93.67816007008918,26.595379386685607,5.615237875101025,3.1199799133117523,18.979168346517433,34.06410890178936,32.12857463272126,50.81869490568334,93.33298458192436,128.96366031667205,154.38600210881967,153.46602063204745,106.87053469274952,47.24306900888644,12.417799342916016,1.3853036851189473,1.58866349595777,7.90210254490856,24.868224156489777,62.490311502203056,124.09758090586809,167.048041281922,173.7323241284428,157.42968928138086,110.00756061946078,61.39084285018568,27.188322882628274,7.099710876120019,3.2739544362253854,7.569316165805828,23.371179263805935,55.99283526873496,129.4923578869675,207.4413638704777,208.4840452285,162.59649582376875,125.29007675323192,76.90137635257352,23.65937588566576,2.8201151208257365,4.941432018267446,12.58235181292677,33.55367130601392,68.8355919062266,122.3264610935241,171.26147888561133,167.95784279093084,134.17576307956014,95.66022271906508,46.10091302170434,14.177607636147146,4.343642688213286,0.6086307485928777,9.085624552322933,23.608796855451516,42.66992342376689,98.82793298511288,157.1788228583764,150.73905673436292,109.08006287760827,73.39457779049653,40.31314904435993,12.238497325849707,2.785095683421155,4.082470540283568,9.533450562606916,24.09995713481426,60.812714272971675,127.07243007761255,167.120507667404,158.29754827377923,141.5167579670417,99.06258264803215,33.92966840633056,2.890055297576831,3.067402877466348,9.742984734166324,17.156482569176525,31.693232142303682,58.33379884363543,96.88559853723729,140.95364763649837,152.03761766097398,119.34848599982313,78.56393550153899,46.26375891501254
MAGDALENA,145.24743864116826,182.63284181816888,169.48882258693098,151.39380572469756,144.3201135391121,151.38067363871178,177.56890386339776,198.0939552649535,172.39861315737878,106.44729382383566,60.93878919203539,57.063057243135745,88.23500613857891,147.99929746203588,177.5084964488286,159.22527544970072,144.80534877408547,143.7180782519171,171.42817899763747,209.3571049773188,184.86175276814572,121.54884052545584,84.92526365176234,80.39496300971763,108.87970668761851,165.5517557563453,190.51448453865794,161.36116743020378,136.32812143659734,141.82349843536616,173.1808721952144,207.51676764307783,187.67223600835098,124.63544968396184,82.09149534994536,85.22263181601285,126.11248449661464,166.95116053957943,178.78730999955087,158.77718088522133,132.82202626389304,133.4510571251965,158.7962955976873,196.27130391077284,197.01409102907556,132.0107406745177,61.379866250904364,57.57230305482065,123.74440113805525,193.28701747723747,201.17783320661957,159.87213440231497,140.9861885773558,151.01815108107778,173.53045295721162,186.01388792940756,144.57663773362148,93.53608149552785,76.32667146912077,85.21338125410155,111.86313101027436,145.06158994103296,163.50889579095974,154.51799762437875,146.14018536801453,145.7962920798702,163.45555605802716,205.20279393245264,190.19662749265353,116.56107329528419,79.51633283254931,92.83195979534973,120.61039846567587,144.827232870924,164.42592276307414,166.4155300818064,150.4479624980254,137.88512061551046,151.21913216971453,183.38500404590368,171.73587974885228,110.86456198515195,66.63476315972487,63.645174641756284,99.95972027829589,169.52052431797912,216.73254595403705,219.2910929435769,211.40201996319828,208.9386399191469,226.34213724552114,254.92651702727744,248.04801260134636,176.44912426152067,101.42835756105988,99.52864969165654,164.4750384178075,232.14965847512724,232.96252887204483,193.28579273784808,171.8903862127676,167.06432955114778,190.856392558696,245.7944606154093,258.2966135833588,190.4690720786074,111.68319727158992,88.63568740631239,125.54279073545153,178.56915418739598,186.2169141907434,154.46618571154963,140.8056921276541,142.33710255571216,168.0740355141585,212.72108139128815,187.7746748489791,110.91657454467459,83.17737663481394,111.10943075068785,143.0842927453249,182.11032355628438,204.8339821303451,166.3540797236379,142.15329129806045,164.8563984127961,179.52342829498608,204.0677760836463,203.0285117692496,127.69277090975079,73.29907216822934,84.96808380171888,111.32034242359695,144.14267926552745,167.65810031225215,146.89634793569965,124.51424460859702,139.27502709347013,179.57939864081047,203.36430440653234,173.44555810540047
URUGUAY,167.0032666794817,169.32946678320778,134.89123207575986,90.54867586879588,73.73531515849501,84.6306903142801,117.46943363736021,151.52743815874464,180.6061599585415,177.68464876172902,119.88269929895334,75.17856238004491,87.56476683506777,118.03318726656437,113.94649920051476,96.64460705169131,90.7685953243729,91.14407231698097,119.86507329809865,149.67253497319652,142.81037039756205,119.63553043401343,98.30011976433634,83.00749190329843,113.59837214760144,163.60368744315565,178.89381198901322,149.6590410319709,97.95411510744943,96.67248538308824,141.9681228709768,155.59208989432287,120.82409671751672,101.6534589748256,104.90886678949863,101.49223533192871,114.18028581822028,120.36255283521923,107.02896535435893,100.76709600366144,92.75477439530998,97.50525744180936,129.10111504297564,154.54591633900625,160.03837300840644,150.20720499143067,136.79171134444064,147.44634842965644,155.0576883554317,136.45508324888667,116.14131537333155,102.4573384184311,100.44422130563642,113.03258793084257,155.95679504406053,178.31898206585961,140.1268889915979,118.18108324487609,118.97591815290055,106.31680775738079,106.59874518155345,117.54702067577243,116.90800804966987,106.00592716104056,99.4587683216468,104.78379972508613,136.13628017280163,162.18418593642298,122.01141408165957,95.56827547098601,117.30983431671068,110.11881254573666,84.24280211880195,89.26084362023475,104.8273754923182,96.28700105459099,97.37147559416019,133.18178817483104,162.37883933437126,199.17738340827648,241.24972435075438,214.667572814348,184.84380879870545,173.63804942517683,155.42235767402667,161.3046539324985,140.9681638705815,115.18076157495688,112.52371393909118,110.31969673124303,123.52395556516116,113.71558724857503,102.13722523255319,122.92464934762074,138.22130518395883,141.4137012851165,128.5405605735838,109.47814730018922,101.68620082075337,110.35361038264722,121.8698925124354,121.01121041740485,134.24328694991053,140.5071456500466,102.93144644634305,75.84369181095339,95.03895017880058,115.67324924242395,102.60462466597448,83.03651003652001,83.56098133542204,94.89851386589022,95.34666578848362,93.97174156524027,137.9096664133213,170.0919387935533,159.95262159935544,161.86642229280005,141.9146885567019,128.83176287724817,132.8181827244541,114.22893299709044,101.55349292848821,97.738635307792,104.61797680535015,119.57769222829599,134.9117563399624,158.45882005683657,163.91265449463876,153.88866267897149,152.61209241402844,151.8659606309173,155.98858330659132,160.92571844351377,171.85743827063638,175.44558012880006,139.0106360803571,123.93424734296565,158.18764240974323,156.76889604303256,152.692112880383
