name,1979-02-01,1979-03-01,1979-04-01,1979-05-01,1979-06-01,1979-07-01,1979-08-01,1979-09-01,1979-10-01,1979-11-01,1979-12-01,1980-01-01,1980-02-01,1980-03-01,1980-04-01,1980-05-01,1980-06-01,1980-07-01,1980-08-01,1980-09-01,1980-10-01,1980-11-01,1980-12-01,1981-01-01,1981-02-01,1981-03-01,1981-04-01,1981-05-01,1981-06-01,1981-07-01,1981-08-01,1981-09-01,1981-10-01,1981-11-01,1981-12-01,1982-01-01,1982-02-01,1982-03-01,1982-04-01,1982-05-01,1982-06-01,1982-07-01,1982-08-01,1982-09-01,1982-10-01,1982-11-01,1982-12-01,1983-01-01,1983-02-01,1983-03-01,1983-04-01,1983-05-01,1983-06-01,1983-07-01,1983-08-01,1983-09-01,1983-10-01,1983-11-01,1983-12-01,1984-01-01,1984-02-01,1984-03-01,1984-04-01,1984-05-01,1984-06-01,1984-07-01,1984-08-01,1984-09-01,1984-10-01,1984-11-01,1984-12-01,1985-01-01,1985-02-01,1985-03-01,1985-04-01,1985-05-01,1985-06-01,1985-07-01,1985-08-01,1985-09-01,1985-10-01,1985-11-01,1985-12-01,1986-01-01,1986-02-01,1986-03-01,1986-04-01,1986-05-01,1986-06-01,1986-07-01,1986-08-01,1986-09-01,1986-10-01,1986-11-01,1986-12-01,1987-01-01,1987-02-01,1987-03-01,1987-04-01,1987-05-01,1987-06-01,1987-07-01,1987-08-01,1987-09-01,1987-10-01,1987-11-01,1987-12-01,1988-01-01,1988-02-01,1988-03-01,1988-04-01,1988-05-01,1988-06-01,1988-07-01,1988-08-01,1988-09-01,1988-10-01,1988-11-01,1988-12-01,1989-01-01,1989-02-01,1989-03-01,1989-04-01,1989-05-01,1989-06-01,1989-07-01,1989-08-01,1989-09-01,1989-10-01,1989-11-01,1989-12-01,1990-01-01,1990-02-01,1990-03-01,1990-04-01,1990-05-01,1990-06-01,1990-07-01,1990-08-01,1990-09-01,1990-10-01,1990-11-01,1990-12-01,1991-01-01,1991-02-01,1991-03-01,1991-04-01,1991-05-01,1991-06-01,1991-07-01,1991-08-01,1991-09-01,1991-10-01,1991-11-01,1991-12-01,1992-01-01,1992-02-01,1992-03-01,1992-04-01,1992-05-01,1992-06-01,1992-07-01,1992-08-01,1992-09-01,1992-10-01,1992-11-01,1992-12-01,1993-01-01,1993-02-01,1993-03-01,1993-04-01,1993-05-01,1993-06-01,1993-07-01,1993-08-01,1993-09-01,1993-10-01,1993-11-01,1993-12-01,1994-01-01,1994-02-01,1994-03-01,1994-04-01,1994-05-01,1994-06-01,1994-07-01,1994-08-01,1994-09-01,1994-10-01,1994-11-01,1994-12-01,1995-01-01,1995-02-01,1995-03-01,1995-04-01,1995-05-01,1995-06-01,1995-07-01,1995-08-01,1995-09-01,1995-10-01,1995-11-01,1995-12-01,1996-01-01,1996-02-01,1996-03-01,1996-04-01,1996-05-01,1996-06-01,1996-07-01,1996-08-01,1996-09-01,1996-10-01,1996-11-01,1996-12-01,1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01,1998-07-01,1998-08-01,1998-09-01,1998-10-01,1998-11-01,1998-12-01,1999-01-01,1999-02-01,1999-03-01,1999-04-01,1999-05-01,1999-06-01,1999-07-01,1999-08-01,1999-09-01,1999-10-01,1999-11-01,1999-12-01,2000-01-01,2000-02-01,2000-03-01,2000-04-01,2000-05-01,2000-06-01,2000-07-01,2000-08-01,2000-09-01,2000-10-01,2000-11-01,2000-12-01,2001-01-01,2001-02-01,2001-03-01,2001-04-01,2001-05-01,2001-06-01,2001-07-01,2001-08-01,2001-09-01,2001-10-01,2001-11-01,2001-12-01,2002-01-01,2002-02-01,2002-03-01,2002-04-01,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01
WINISK,20.398304165286483,29.597048029380687,40.826017203137326,58.21881562825001,76.47860537469992,88.52718067708605,90.09286512712542,85.87065480778024,76.4593439539973,56.386229728871804,37.063555630308166,25.946371043417123,17.58060185105121,16.422684886457517,19.17959636144277,32.39354386744908,59.676783582231366,72.5163288253869,78.13480801522576,86.94655677721573,67.0883678789923,33.89519086539506,20.6419979524016,20.506477893189142,24.305018100706985,25.272433494110533,25.26312264873778,35.7795567245562,51.31652797886497,54.26833869921539,60.58489827998588,67.36807133694957,54.653637075040265,40.89671338062033,31.389971267427654,24.417950096843875,27.736113717183905,37.4266013371853,46.88424185850429,66.6602838300829,90.3973978862294,95.3804968821037,92.00113762054335,87.12135452499439,65.83871706602508,42.89782375128613,36.3610133603263,29.29117055137111,22.126974652575885,23.654484983164146,26.28157971397547,43.61810765448156,72.02382797469633,81.10408779105617,73.12553294067415,61.92407450683099,60.00060920018029,56.802885991805866,34.89671744243475,21.826427505139257,20.247805606118877,20.499081048524488,28.042664747190653,48.364764931860535,80.41532097899459,91.10208749301016,78.51061367361439,65.58466096002748,59.057729317160366,57.42649451941777,45.12388809415406,24.826692274187597,18.2986130300384,33.40967901765229,53.6528030948391,79.01235788730487,100.95141176172527,94.80786546071099,97.53386440331589,97.25487018033871,65.10576397905433,41.995285976713674,31.382549219470455,23.54549579831132,24.467516174403517,42.18787957881859,57.65449210279842,50.63597894421506,56.51716072899629,71.11791581423881,78.3650964531866,80.80929703383684,63.1936420616192,44.901127831156685,33.19302780124818,21.737706129368085,20.09220813795974,25.46000944741063,32.10652572610681,46.74230089815683,72.72416031449642,106.7798315791506,113.64380168968692,75.51812727847815,46.093831686982305,35.381323838582404,27.038211874605835,24.019580434816948,27.445490320627307,32.0342817882891,31.71548364493416,38.85412795249211,57.6803602288246,74.71502578345269,86.493005191028,87.15618648588095,67.12907158184292,49.66244793832979,39.116310662273975,26.855305071957524,18.494038780969184,13.876281220454901,23.41144727720579,46.28905223422943,56.08279713790223,56.592896934159654,68.48004916777845,70.87793689702012,54.67111327646881,38.66460535226546,28.978246751043564,26.158246343419947,27.417498367145,37.04747188611124,40.26879537981625,36.99077609896476,56.779577012405426,89.51861343061796,94.83210427592986,64.90678559968416,47.33880991893696,45.68279400802267,33.04100529575466,21.520695672246493,21.51831333903983,28.596371562660877,38.64758450371645,47.99351724534114,61.98813409534262,75.05058800379021,81.12770002249772,85.69462509538431,75.83019829009135,55.181062419976314,34.21128713882876,21.60820414177067,19.48589024208784,23.112843096178928,31.43329252548841,35.004224045622166,46.70790753815469,83.6723668680716,122.94602831124828,113.17406592174208,63.38377945915571,36.37389918547818,30.064399464598058,19.747538782741085,12.9362353111669,13.664582846603661,24.78326406157381,44.578627786142086,68.34227424716565,89.0603711479855,101.36853146707372,95.32644097202827,59.58082290198018,26.53170228115448,17.194746714557013,14.634274590733654,15.206529820993499,21.89080768618464,30.911440444167063,34.60517214133899,55.98088890236126,95.37762024274649,102.0685242995411,77.99125003471895,56.848900564962825,41.08377825930943,32.4487175574185,31.547096408207253,24.255329822840125,18.882958056036607,24.767357119057994,34.58964727557496,68.09812582827296,103.13436839992768,93.3195840304194,70.13188255406973,54.33893594256681,36.10224074980694,27.108963868014182,26.325249476327492,24.60758234429987,21.07756956004775,20.798750876792933,44.19011241960308,70.95421964241672,73.18961734197222,77.08565341958266,79.61768162937965,70.09152084161461,56.615454075326376,42.72108439033932,30.709529322014184,22.074267757452404,21.21524987956482,21.815971160461277,25.16968183515059,45.09190501116878,65.64704880597597,82.33551151918303,103.49780452178742,87.56197866915795,44.04349509001971,23.93414418470891,21.557809652840177,19.290925631751122,14.73318765488017,22.770809048662557,42.97337601263931,59.38355001494472,74.27479529975892,91.73100833804234,101.97391112056832,82.57207113102851,46.90878648378892,25.74857867191301,22.49342704912098,24.426832002196726,23.44970922567405,37.0652159745179,71.4838608849195,99.5378377051691,98.54476081259972,91.75464260840273,93.0198225864046,77.07105417938875,52.43776183996848,35.63359048267898,25.596185465605235,22.65896851249307,22.65485106983371,33.35230167103744,63.86035327784677,85.05673322296084,88.75532679285993,89.24102982469921,70.05627019793313,46.72379933276102,36.12170344556321,27.86179667692476,23.997603094592932,24.426472739303563,30.27457531766428,43.32422323172345,60.47039189584764,82.53233091634408,99.00548344760924,100.05235770737794,95.25884097496609,85.91949348939222,65.36027570631208,40.51385085032634,25.090419677616893,22.507649684172122,27.182687783704637,36.07053532725594,47.689577369616686,71.39916451606922,97.56616037630056,99.03001082452587,86.86308624506206,69.80141178932227,46.89336657696967,32.42353313851102,26.033441373874492,23.297847729852556,25.380802317628568,33.070286092719385,52.206698710525394,80.92798302741424,92.28583426825318,94.3928643595365,94.26842070104902,70.235923819462,50.456179597189745,40.74503754101667,30.159257866355205,29.13280542517579,31.092174867790984,41.267664061589855,62.40903129719972,76.8199287992581,84.78700760128086,93.34274876379251,86.67858237547968,64.08314231010792,46.07598629667847,35.45555264997383,27.343385496594628,23.055198696767224,32.62283478963474,49.24870072348082,58.58552326023988,73.31095531325349,88.93702694415674,88.140660490818,77.66859870325197,67.56957198688039,54.105835443695184,38.17146038197363,27.85328305688395,24.197082389906264,25.719217259998032,33.815317576759746,50.18075099935254,70.0513870922061,81.40939088848836,78.50846504904459,68.36337982543611,55.77737089314879,42.32951595895063,31.435371252847624,24.813613822512007,22.746886605311765,26.010411116677503,36.5229057197336,55.09942100875018,76.59432357193798,87.03198185453947,84.0080135937842,78.6153775647229,66.40997857549257,47.02705822828679,33.46173097912463,26.279534670562455,22.687507016937147,27.197213604973186,37.84913870972208,53.062365639703046,78.62198771854082,91.96141197900948,81.405307335949,70.57737156551448,60.52898283485989,45.95218722517376,33.37917609451891,25.889372423487742,23.567338859580634,26.09913558816583,34.69138281993497,51.32206504209228,73.27273731460704,88.95077751820858,86.1396513561547,71.40840084666478,57.6262489434974,43.804823624753595,32.38798309386451,24.943118957245108,20.476568310866323,23.852258333860867,35.38608510889053,52.42509445139008,77.79608803310379,97.24316505758625,92.77595255384932,74.9289382648658,58.11037936043306,45.101352704537305,33.19325397254696,25.451420690534903,23.417846144548196,27.5875645965763,35.88874136023635,46.8942349103056,63.57947378982365,74.14438012713401,75.65833063121883,70.73237336477777,56.7169086966193,41.56379507251648,31.84252780312971,26.55914842450218,25.2138902347692,28.057417964943543,35.375007113582285,52.3939326149122,74.98625762819611,86.16821967656212,81.0164088881709,71.42787271603574,60.785475904719334,46.03134308548481,35.41676916871005,30.17270711071334,25.861347734085385,28.225421219670423,36.88031243357674,49.90238106390521,73.11109170150065,92.60524486165299,89.21190817613642,74.47079574101639,62.17606109629338,48.63612020203428,33.80835688507674,24.965991899426704,23.04174704308255,24.62918532401502,36.81384301319858,57.975401988457406,74.89859177279624,86.12957736292657,91.8132994478646,88.96646288005334,71.83031563865985,41.79109060143545
COPPER,41.77795156826989,59.91180377435481,37.17961059468244,35.769619696301355,72.03072304504784,89.12039647021263,80.26738361782927,72.64695994018653,71.94135538655289,63.66367470551188,55.428981833395895,56.44159514293503,51.78596719746432,39.48405545707598,34.69481563752015,42.20572448094948,71.48732808200589,99.14427376564993,92.57182425894868,75.65158354907524,64.81797321573355,50.30394272879295,48.75309539838011,59.2406075859831,52.811303418074026,36.31601192579169,26.616315145374127,41.8381731214273,82.31294760768051,127.38682852669947,138.42761044636433,106.75755685682725,84.30314055542598,68.81619158697258,41.724263879581954,27.099012944176405,41.38161057545378,53.11788873424675,39.895154487059834,38.76500991783029,58.77954380233583,63.76640800516177,64.36837355092295,76.36993912046329,70.3893586423682,56.96553003660305,54.272947185154564,50.108939601941785,36.442690113546035,26.93629354766027,32.325546000031835,38.568948887464074,57.09035318776546,87.65623476146492,98.29650228242056,84.84186924039128,58.29415991254043,30.55275225616862,33.051837543674004,59.89516741583404,62.07862530793574,43.15776253969369,32.80423879132015,37.65248043826698,62.23860387426628,86.22280468023452,78.45281656640043,57.61518567705026,50.943943497716056,49.74364649434392,56.90069682465043,66.99205992340627,62.147960815240594,48.94431518538789,38.02748064853945,55.196900823422204,79.14520132132095,78.33346531202235,90.60926864281113,93.24090512539502,53.173853437238726,37.33617488103671,65.01356603669701,70.2310241553443,49.1927980444496,35.62863657861832,31.71985872537317,38.04281542592044,55.967752826787745,78.58391622450941,75.03012752627058,54.14959077457689,54.65779191616629,68.26810159771334,78.83387609428898,69.95377590005525,44.10570231022869,29.297119604638297,40.84715834831375,78.83572317246961,101.51961871862413,74.8650078079175,66.60806490218306,100.31583196339587,103.4437044754221,81.61973550713958,61.974057735383376,48.650949739341506,56.97000082994631,63.10965330011672,62.549862843103824,71.99844371035408,84.09123015959028,95.1770795962554,94.33995011590596,86.37620104445723,75.6992685463299,65.00874181871559,65.42280645179456,46.190041530096885,18.439743599612875,17.89482276999003,41.996785969765014,83.97490310229591,98.0401217421143,74.61048598955962,81.95716966190386,106.43228497691342,92.45771554257212,88.58684463823187,99.1505361207928,77.69947047786876,61.03092643752465,52.34899779735269,33.03774452411152,37.23156890527036,65.60530491610368,85.63114312286243,110.23935973924256,117.81248651685289,68.4225117095695,36.623262408551106,48.98487624498223,55.55444270919722,54.515238596827835,49.147297335496766,45.45915432872655,53.68625007858353,78.29343930170373,105.37898536750117,112.41886359723107,96.23260361390588,71.06789494488837,62.81266246647846,67.5980799650262,70.64772778341064,67.94873772922676,52.342968119378746,37.564910328038415,48.45825450113996,80.93712649335686,107.45417421954424,106.47148904059378,83.71850830637337,71.04920667930003,71.39705300943545,63.45538173218459,54.67502753177996,47.89274003923644,35.52506188206837,30.698432582640326,43.565920658218516,53.58184129228143,65.75176190385714,96.92361131684501,103.1964983056443,84.71349810261749,76.10195273092695,62.30641870436594,39.06854897149593,39.056560936451135,52.57974667407328,55.21107165005216,66.36544977342992,77.16286292524745,72.06756669798636,68.99767335928534,82.0107511756892,83.2329882752572,63.9873966950537,49.07318336390357,42.96785073667706,45.30464524909335,42.228644058692225,40.526804504582245,59.25601922009169,82.63882405665834,90.3610069074535,88.93192782489889,79.75827426051971,47.79769481663561,23.181673037871345,19.488914068839517,34.90193127817585,63.61691637458227,56.897406022612266,32.334942161530456,35.740417284758806,50.47417163160147,63.06325605437541,70.78757493168962,63.04317184916836,47.51783327861145,34.845169912801644,34.80748886903271,44.636888486797986,42.837117477838,29.560701089344054,30.73015702482973,45.95874302272879,63.46493783118413,92.37872698689927,104.71516312335574,73.51707344916775,45.260663279261266,49.3388115026192,49.26504991914037,34.19133127928344,36.1841425136275,46.031951516822005,47.52781750025516,56.874377550038965,70.14305929205918,79.72687006953515,80.04846630080552,65.77440835253967,42.86002572624773,26.591976328781726,30.663811064659853,35.35294162526475,28.710334425650608,26.62099263722571,40.4196015622131,59.991456919244605,66.98404692879757,68.54807999803934,74.40063570708136,87.30006026414372,83.13599090840427,75.46552795511043,81.91123250076129,57.050269169560146,30.367886611975777,31.928066412846835,36.093221868371224,53.06531674478788,76.16845405064524,86.05896608830676,105.52429893050484,115.9573726477261,86.28595870194137,52.905600370126194,44.43315132131736,52.30677906094252,55.261562284141945,42.44484690206535,29.85543957147101,28.304032667274154,51.204962124214596,80.14627780522551,69.93270673991809,50.97945111566268,39.50297287577031,23.956473418360048,25.292214211966744,34.03100027331945,30.462270744134678,21.441824533245402,16.28230095712388,25.783834653703007,52.205465644313236,84.32611567611717,101.76064274024753,88.7722432366377,63.554219157867685,42.8524238913142,30.928887702132606,33.63157838287562,36.275180678926596,22.215359205422285,17.497933933008426,35.218324834459736,51.722548289710716,69.26255049926928,81.76883279552113,67.78450614252718,52.32152494920795,59.176975148702255,59.29394048134256,50.53746211962492,51.45232349585517,43.7372051457013,37.07255122925728,38.804216019576785,39.074931660498976,41.08843008558662,61.949106230764,89.24925434104541,76.47002446233819,60.06276568648118,59.51323353355745,54.30287579729642,54.431948160849295,42.894423415366035,26.805557900194323,34.07101703330582,62.15942567745889,94.45743791272027,111.44656921289624,95.67407136986725,63.18651986475256,52.35400947320275,46.774828614970524,34.399407352714775,33.06586480727096,33.923634039325634,35.72304243613212,45.028046073121416,62.09362013600865,91.90394274208525,110.48013630238407,89.19335509223137,48.86182158256372,33.38844127069795,51.18290240164142,49.62528830862494,26.710967099772382,20.638210028679083,27.896980740039595,42.38042984397012,61.876044759391085,69.4341394156513,73.37884691675552,82.6274205931436,64.73114041877415,39.30360437135608,34.69788075061524,39.25536585762416,39.268388770415505,41.424570888649505,49.264600086948334,52.48458901605177,85.91387972923219,116.31642783555378,96.7932181029296,78.85720229618579,65.08218221608142,44.62866626236287,45.03834971087673,50.16190500711234,45.77650197551762,38.19446748093869,23.55677638947175,25.27591453824111,43.54369152261684,65.212022906662,84.50409486321753,71.52995316466227,47.04263875883972,40.67319920128219,36.70556112952155,30.89832287075454,32.827371649426425,32.08521709776649,22.704364649098572,34.13707953778612,72.88378400244643,85.15537243480372,71.12575123781859,65.45554017870818,57.711516974853026,51.07195833173628,52.277570829511504,69.90960727370879,82.12355052969667,54.27146247723788,22.34039297072158,24.51642111395915,48.8391730761722,82.59792017581526,94.83155690551826,64.56399142518093,47.277078766884436,59.188537971313266,74.17889917067981,77.76825414320896,61.29992870247794,43.905260317333884,37.842395010344006,53.311749724412834,69.95976799054628,64.80005039443539,65.19402840635186,71.1758058293708,59.24922497842258,41.90225880113592,46.643291192738225,67.19464232494376,64.19398669025705,54.11267649598312,64.7286011106466,60.24200136795781,44.92054611249971,59.109174240426995,95.53552194640827,107.21663727645803,91.07105975655392,82.53485573086866,78.53871004343787,62.83412902799115,33.52767417456176,16.780235070032425,17.540901880889823,37.31001530121648,74.6385367401056,99.47290685675645,108.61837993724528,88.81942336128469,50.658253799775466,37.67851143279897
NOTTAWAY,41.14653740493239,49.81724965543489,71.56843380850889,110.99918812112764,146.66829066654967,148.89905033436526,142.34808303350354,134.52086051051253,114.98601886321964,82.55562807624055,53.5373851176997,37.531170376522304,35.56896116807607,53.134762427968255,64.49803359789814,64.14226524129431,86.910460176009,127.76283939779721,147.22359753091814,135.60553441242772,99.73799708228552,63.84654731757418,49.52824608131881,46.986271087182395,43.7981078458327,45.728107205175235,62.91414523297115,86.79241753924632,98.78479446735912,84.28203718462642,78.86940513226503,98.24219910499065,94.67123089049602,69.34590747162504,55.79033417659213,48.496403291796376,37.11586902287227,40.79882455132852,52.31897076701327,70.375073573755,101.65278443541821,108.21960978500653,100.8253645780762,95.21975317675977,79.65093224395416,69.05242386217168,56.64221088089043,43.731338400619975,45.78391404281665,58.48807968055857,83.17757733592438,90.53648068160881,72.25094365898772,65.92982221653008,79.50717137450224,104.84800061128935,107.12329904847758,81.6242947932701,55.33545712544267,37.39577993677207,36.092080034567665,38.55646648722558,54.70973250274808,96.08287646910833,125.300903541451,113.98585346372307,85.33923728669409,70.05449146881583,70.86992803828109,82.78282887582128,78.0145075669101,54.93532402113633,48.059494905759045,48.38637502778765,49.14397119856913,60.637862759928204,87.87441817846855,106.9772777220442,97.17083093599419,90.40638621264443,85.01058025873347,72.58855560581082,61.977571972684146,45.56223757752608,36.26980391289023,49.37458653752865,66.62454700765554,79.42905780956644,92.34368085928442,108.08667086127485,125.54635796228949,122.02887860096837,93.54780462039385,62.34529628565278,43.98412497894372,30.586873024185614,21.184828444922942,27.551758255808757,48.90766641284378,85.79345935185945,116.08808930287572,114.98130514860014,101.5779071345222,90.12762241353683,75.77127974942465,63.59390131036821,60.32251671894968,60.691613096758346,55.998676070325246,49.95183995769719,55.62712812099077,71.81523835542323,79.27252543100991,103.18232643064269,146.22831201780576,142.51037882958937,108.01791473635643,83.93389988275958,63.43753653085015,42.40445440856395,28.45764650159264,29.460516746864645,42.86957937069333,71.53239449993058,96.57149782413032,103.95424619573555,107.97157104839633,107.71370890795318,96.94480064041616,76.63473591577626,58.44504411589808,55.11543610805404,45.18687837377059,32.908343417858106,39.54001744239553,78.5244894611052,116.89003302481812,105.99580192806914,100.02187145346497,111.13757031226278,101.22317773615258,85.46260413589317,67.75207641437635,46.110683545705925,42.65838990553905,54.47158480700232,60.87894355614213,59.20869961017285,62.851991483157406,88.00155044314793,113.04384696100172,121.85576339651118,106.32506893026303,71.50889269939478,54.919482100744176,52.14354576189085,50.78797621610872,51.080857356332324,55.745308143513064,71.69077429852,98.91725735931469,127.23943379297447,130.85590279567782,111.29323689170883,85.58744419568124,66.74575280420771,58.41627590153152,50.191491862333926,35.34641969968871,32.04185820619295,53.66328552308923,83.18840057279955,105.60098737564867,114.90670262498568,121.20280951632216,124.50431318967375,98.35280128799535,61.05871613105445,50.527395340346914,48.167123916996935,42.00245746876161,45.866808680605146,56.26984666012179,72.68874213309338,94.21052333634952,107.79323572153194,109.18395768893552,94.90013340695566,78.81743349647064,69.61431303912012,57.376265491611875,50.76592260366887,48.48065240149428,52.741567825301274,72.50565508389279,84.27514022508171,104.27586992224147,125.29142127639842,102.05853408384998,91.01854154016851,93.36562040924568,69.69717319173357,52.21386316666365,46.7352462775702,36.27866449998607,34.98110111037255,56.31025526212124,79.12217432335997,93.24015434386688,90.98066231814983,89.5249602933814,102.43402048771617,92.16361474744394,72.96599912299531,77.40480004318209,75.31757191321522,58.978837679106775,47.80792212567238,46.51097568099211,60.02625048951324,77.03462635952228,83.66160851386046,94.01287543522483,105.52052965835973,86.37384926234003,52.283190044125234,38.742071667914544,38.02943256362871,38.92612440214153,39.150823463449115,34.8568616518118,43.65261758505912,76.23310445293603,102.09497498829374,107.71454682998429,108.45592310554227,92.85084588255035,64.7180609709218,52.35195470326238,54.443971477728525,49.201420238943975,33.5014008818527,41.79426008388012,82.59169189084666,121.47398702750156,123.79784670396488,111.74372732549674,121.98671751248686,110.80098575296772,77.43166015849,63.082952267642995,52.89139647706668,40.0202811471129,37.90841927556528,55.88178535170396,87.50995918243295,94.84550738057159,90.13424282332159,102.63108213261677,88.71355360782198,53.214848055693665,43.35662953231377,42.194353531752526,34.014724658395124,34.62726189927474,39.12067556417762,42.20217215634371,55.29294205118926,78.96604831009438,92.32586876946672,96.09463655880607,107.15244108760416,105.44437669544756,79.63702333485551,50.0013154053223,31.467985216412288,31.706684783629072,43.281581584985744,58.76095019744581,73.47481656214467,82.50438563506563,84.3626317488054,90.38082826621985,103.06777633728206,91.41876650742614,64.45437621961766,41.21489569079507,25.276418309941832,24.59779913060631,34.33042739627322,45.7432377277688,62.372076097115965,90.31896507550718,102.32615774561498,101.33800807447523,102.2270693752587,81.53021508054309,63.248341479824305,58.74633617265364,39.26229954089574,30.355098633322598,41.43150395613167,55.987378254626314,84.38072033826529,100.26766400518173,90.71625730066467,94.99410559216969,94.03691363839138,77.81419597308354,71.7301050203447,55.095437016807,34.47727856773342,33.25105680063245,42.54168868615722,49.62724422716032,62.34290468760804,85.15039974127238,102.22775089284231,113.46105436771933,116.69589798101111,103.78733665422394,80.89763869973615,63.00051263586783,54.13337655702425,45.0524768063478,39.86214560973965,48.649763220544656,69.89816175329224,91.79302521737742,98.39148328860615,99.78420428898878,110.79573216225289,102.2587804942276,73.48253287242063,59.35178605159067,52.562297236161555,42.304281026176675,40.83603939425715,47.44478826129227,61.29611726469305,84.48610564294758,107.95498860277974,120.31658795913856,114.22554149187673,94.74138898693889,74.12085413048888,59.700923516683055,49.342018442475634,46.18952210600796,53.79965825556815,62.36135100414048,80.91512358704443,112.02397789694703,116.26094139862832,99.6685876032728,94.98378786824391,84.90977942061502,69.70769427892367,58.73906238375087,45.46482592442558,39.75830127178136,43.88308801913033,55.36463688942287,71.43894123626495,91.54817007598186,109.09312032476952,109.37186893021536,100.8405671101924,85.9368655560459,71.10167158155234,63.321350929298966,49.72781904519401,40.05108614248644,42.184747827575634,49.71232803851338,71.02115439076556,98.32771624687145,110.22746897973362,115.76416385989674,115.55195059131893,94.27681590981324,69.23462753857144,57.322780291073464,55.26230377657624,58.42554237998124,63.30007591956947,72.95451407335187,81.08914040527237,81.16946136485792,85.95250161547693,99.4335619203619,96.09381295318909,70.6185633153257,54.79060794481997,56.70734082289076,53.38528487642326,39.8648570251445,37.12307750847063,54.062633708782535,80.37465751433758,84.97773598875456,73.05732548500409,80.90995696401944,90.6329444279125,76.30640279960511,59.0260772854914,56.451494571049295,51.58519260111008,47.01470326168858,54.29136939061463,62.38012347736165,77.25983977696936,88.33461417650801,90.24610867323432,112.44089970068717,117.93808115526917,99.32201815409579,87.40299909246181,63.34704953868975,38.41693485042734,27.290712340884316,32.08357469413599,53.873381481487804,79.3032073208156,103.96069485333109,116.24893521196759,111.43506693291951,114.87189371684681,110.91250818948669,79.84343292994983
