name,2003-02-01,2003-03-01,2003-04-01,2003-05-01,2003-06-01,2003-07-01,2003-08-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01
GUADIANA,21.600641133186617,48.24722564044024,61.16905108055581,80.78019682508791,54.0001196634401,33.04473473692904,26.619416665434542,18.211983542643782,27.394147852839055,19.544958594952444,14.543583883106464,17.758575403218305,24.26754809526868,46.21157822654735,68.7988649169706,71.2484305790746,71.67667876898541,45.914294111866695,34.15807866956018,23.945119209160932,26.119193961652925,21.17913116229109,14.170437280747493,16.73532273801298,19.92890383787765,40.86305631724586,53.60050192590143,47.70725264925633,39.55189831631932,20.207513675418923,13.729831925043037,14.105656734461993,28.025878011727173,20.09890245772672,14.480228935874678,14.466947898219379,22.14534813743025,41.42769589551048,64.02555986688826,69.61488843282335,56.28158828427302,34.094180146394876,26.526675408137038,34.032752656781234,32.894495662867755,22.415949923093,15.6402815156709,16.009971483512466,24.11128646985139,50.393507545900206,61.15612916625281,81.89888207525253,71.18852946140129,50.095927591396105,35.86542091611606,34.422811956124285,30.270312398613346,20.757399548013026,12.719473773511652,15.409865535694811,25.262320630372454,43.855509930627704,67.4612924184008,67.64133874942526,68.83587084976955,41.57973850387676,23.859639528247783,27.021277977437155,31.341420862838408,18.18316604777498,11.931759364208112,14.886727907351277,25.97706378434117,51.47467157199313,58.75603160457039,67.92065688631949,48.71920142343547,29.379105574495174,20.31835408137142,21.820167787125595,23.341394011996503,15.743604896889002,14.735389416344539,16.226612734439666,24.59838724745592,42.90094618762452,72.21264276988667,86.17787183691804,82.62370138790988,60.82236872354772,41.97988250692316,34.265171549358655,33.93094474353145,18.76272694136684,17.639410184109458,16.52314760609711,28.07137999773138,44.77439082874928,76.78616086605157,94.50006694588158,75.0719033006227,50.314834652983365,38.21497213344268,27.4494836582337,22.538246042192398,19.748892678590433,13.897417655302599,14.590962057193073,23.238027581629563,39.78339594411,46.07060777640009,69.85832044635445,40.90810716203933,24.769624928528756,16.543812676754857,26.4975007626599,30.01024066384792,23.35586601702991,14.141500198740074,18.144163860242184,26.529503423578017,41.10934136250183,74.05161220548109,82.8050734298818,65.60126042817262,47.83828044295802,32.51858309494502,30.744217164253772,30.485950956602466,20.2371600311598,13.846863976778815,17.784953528538907,24.564931107787558,47.377707330681154,68.89947059781203,76.29921479068939,57.64696701548428,44.04484001666234,25.588656094187854,31.40170420338589,34.96964038760717,23.355534193047045,15.1618791894243
ESSEQUIBO,63.27911480438795,64.41996952459606,80.41224748402574,91.98845582462162,100.25408259223616,110.50531269800773,125.58815295786098,123.12760246659026,123.53934073195926,100.89459856928916,91.32835017827507,91.24095768894055,79.84091762064169,79.50169627049011,99.99439960351934,98.34748902830266,107.98701922995322,111.36404418533773,127.24513674642394,124.40218591181186,130.4973661467224,106.91624461263642,86.25573080277975,89.12153242997142,96.6443817977845,110.82636090080139,90.21044651978576,99.4766078575026,112.51137407088494,120.3775736652492,132.8042046068342,143.76077628117102,123.05343451799727,90.83880262931217,91.69024641017421,92.431614009462,92.81183619865192,103.56946765566845,104.76254611959246,94.42454910967712,100.71002516091421,114.30176214463641,133.18216483498466,133.62887093573514,116.03503536655603,97.17876020738335,93.8353425483179,84.63074162569198,71.69956755992017,87.17773772807742,103.95152025917857,101.86382098327441,105.61073677095897,115.71021551112382,120.95835142445958,124.87864538762568,118.27426358560365,102.67145687517312,85.31046609299084,99.16361688388643,88.95808172299292,109.00069748663417,95.56795762725123,103.7687849130561,97.78567493620285,116.85095137202909,124.63472427261956,132.29599359457953,117.84112848848287,99.70304834746425,92.32394027546991,105.91735463896333,100.72791980506061,107.88888520035299,107.45938920673224,109.34632740802668,102.50604329765163,126.64682866911134,125.20569782301021,109.22168928529015,92.81584355083625,86.69262514032027,81.16763563735935,89.23972709307078,85.90750884163629,98.8741691363001,99.9533161671864,96.10689334004331,112.28758985683322,117.3263102541943,136.49900434349195,128.2593953254083,123.83917794001184,103.36347799448434,106.7596020756073,118.44637675471766,103.25338588508328,126.61346231642766,116.60346719955663,115.90628427630082,118.31259047406188,137.25924496559944,140.64583506587124,119.68358750880316,108.80015026222013,109.6276838655079,96.64282750484165,88.07398226176082,89.75951549255552,102.09275893075495,106.29060201953065,119.41697717280881,117.00604875572037,124.67605600894946,130.07286812043762,118.73835696633036,101.05598757290551,92.10788587230759,91.58637605030846,83.82667510282617,84.20671459954598,104.29928354101007,103.19783576219548,121.55108296907002,123.97011297497879,128.39413869943075,133.4821899901105,131.59026765116852,119.45655328047651,103.32254707767038,90.05658561441935,98.44795273621999,82.74277321622337,92.92810194371793,82.61618971153429,99.65169732325641,109.28752817555774,121.03751467442083,123.60888268133652,106.99618787047613,93.98272394009688,88.76500864221815,84.33522094647321
SUSQUEHANNA,19.714412441318814,26.65093435166834,52.425839777134115,67.19002518488763,102.7259260657574,134.19727219830307,109.3643120346229,77.49907052714681,47.90645623253289,25.67290033148724,22.416499639009274,27.59208833630517,22.958733826583583,28.101815797414872,55.06389931831533,98.48120806730674,118.70174036382157,109.41619548145725,106.78198543660017,86.92933529581036,44.143054344802785,27.166438161235437,18.063529649025792,20.278787627655667,20.08607581890624,30.176248294922576,65.60564712783099,96.57412262273385,120.13992692874659,132.25742305439738,121.46378205069902,92.64468988343832,40.08991127662464,29.77622280472801,17.000329193883747,20.463988408812963,25.596013508322184,32.67099206777059,61.15894183196218,98.88361277080924,115.28732564263566,141.96557187635398,127.39085800790853,66.68710427113841,49.25303557363114,24.182335303604955,22.21830030299424,23.275547641503664,23.467018811353913,39.76492503233816,54.08646064326958,118.95476747424327,136.79868585573564,134.85172237112707,113.6595334856218,80.53938255346283,48.29280832597908,22.633507396505195,17.628214070108786,18.444669689166435,22.060972299304655,35.147933484953704,59.12583985086726,92.50400119015444,128.72186957188936,135.88343950020234,114.50274883787647,81.66116970358469,45.84609945655588,17.746312095554845,23.63403072340647,23.585815649754952,22.101464202607094,31.038491032942233,56.84735396264788,89.83872362063043,108.92134349815801,124.32757380275741,119.28903890320917,78.50970541304467,41.831309123806626,22.333193151968164,20.760287756013444,16.78069582346922,19.007522368903768,32.12433091481397,62.46710015233649,101.11101381069217,124.17699282476099,147.62526023113045,117.39220826356132,78.31495221390729,47.99244446091219,19.948640000959546,17.24221042516505,15.136559550981724,18.293006534038877,28.187114804086466,44.74139944509481,83.20519954330007,123.70276003938727,154.0734793533906,120.11545159331006,72.47973271275674,48.29096989292383,28.72630504810287,19.915043577151412,24.028786074104577,24.538825301264513,43.46542619966224,61.10442291160101,92.77638605730577,139.6503523124311,152.17205089367454,119.10421620386859,76.21705514888521,42.99985616425301,19.386559138072823,17.03507677909133,18.196913973303218,22.061052463451745,26.741345210767737,51.37101833617603,90.85044919974695,113.67789623021584,130.46371194392933,119.50914862544192,82.49519522023574,50.796461857779185,24.289570550620912,16.274451474662786,18.941401435911402,20.536008424548875,29.04858590934082,50.481485352514476,90.47556405589455,125.23280961248379,139.94416300868502,119.2898464315008,80.54078029439141,45.83790527372734,21.496449289580994,14.218113833766466
JEQUITINHONHA,96.61221088393768,87.33218034268124,66.22176691635525,51.323383300554326,35.83714306989224,22.39234017904406,26.278105641844544,28.85218648379663,43.01738965641571,66.70127655349172,94.83591953358375,92.27545139946427,94.74276230616302,92.9974629162346,85.53191517792742,71.78056336674017,54.62796748161448,52.760261643215046,46.5631378199083,32.71451932496202,47.08092575282294,71.29701000026827,117.68452158392552,110.99714963657944,104.5723051110893,105.87833583027793,85.2874404168331,70.55445520412833,51.709465891978795,44.55421750904881,42.19773777364978,40.664654087500175,47.21543519451356,69.37341934248661,103.41401663113948,116.67476632945983,84.93816247244207,94.36067644556347,85.14785247556198,77.10465005742928,49.46572899018424,47.102136513089874,39.48664168408431,47.3575839261804,65.35536407059148,86.6027718662358,109.65450033080167,124.42650222286586,97.1834328367414,113.45590780211349,81.22815620646676,63.2544565552709,37.888593278647065,30.08356489882205,21.9125679465762,18.921964743920544,32.66179212242451,46.97527259363406,94.20124485098476,96.18248867862876,95.55965827545818,100.22640279799423,77.72315634789861,58.01822393512523,37.14284974553305,28.578420261175477,26.199778872438156,27.290227238735778,27.879999219459364,71.11117646378149,100.5227874625151,119.32873364907103,95.72463222539842,88.36734375125103,75.3902322195418,63.39991409834314,47.91970988578583,38.950455258680456,31.473593524823993,39.28552029530396,68.28035002023834,99.19896421546349,96.63204568957246,101.68839532912573,73.89719223301762,93.61668351354386,84.5811782666866,71.38995594566728,40.744458322955985,29.203985294643804,28.287019737613516,24.095167861713577,55.94152497936212,82.90604095404714,105.12474904913024,110.12812568825707,77.37665000639021,89.88803843324608,81.61525078491134,69.1716518747359,46.54990491479589,36.059484156609386,31.513253811498277,21.840497135178634,49.188739488340424,78.16391476969304,106.67329691511956,110.19116646931059,89.21248112395091,81.35855435977423,61.74880272931434,49.72001262760663,36.43026878849606,30.022171682822304,24.383791767996414,22.30009218503321,36.90404211590401,81.75561118007086,100.27882154098461,93.50173420975013,87.38374137075199,68.79789757738509,65.24311076001412,48.35559851422494,35.834935552948714,28.373315958816146,25.444405518499938,30.497587299323598,50.903270063929256,72.36109423675173,100.43380049472601,111.84739468512491,78.04364200048876,76.01913652681448,65.90678265855475,46.01133906427069,32.613179347660534,31.86647615483078,30.46134438716776,20.499682875249096,41.82725325412384,78.59379930021684,100.25279189172535
TAGUS,17.65378408512393,43.280282373554165,59.66077017585238,90.22040779528817,75.21264930700615,48.94827280524054,40.20481071778099,31.580796234908117,28.654872054258437,17.083870488224477,11.717868423855466,14.71714642893732,20.371087687930242,39.06808877636583,62.79421708718755,76.43700195954081,85.71709575825862,58.405620464692184,47.88501555871466,31.893570810735,27.315662035706637,18.625762948332834,10.622614602248357,13.25258686876335,16.941728260109517,36.036964722535906,52.75465060182173,56.59864951028984,53.75049963211535,29.555903846368015,20.704735091555367,20.121367058682036,25.475607306775387,16.683527786986318,11.486930287846073,11.214767777619725,19.150458441685245,34.736549274376536,60.57572854962974,73.57521919419041,69.57052485815073,48.67952707770926,33.07153843244068,38.57397421059777,31.571059293945165,19.8174463939411,12.631812191117918,12.874370206812161,21.286091955194433,44.22129197051246,60.453994496434746,84.7230105430676,87.21762135337558,65.61647736950202,46.959498640188905,37.44804154582727,29.157565383521284,17.122289903772096,9.77944936853015,12.788152575416298,21.046486113670646,37.70748008598708,59.85851753084025,67.96871088225876,86.7668864734482,56.585950319581144,36.079048841191856,31.871559766425076,30.659129008955052,16.067622883388683,10.558438246497486,12.191258471507746,21.569069562661948,46.26161937007649,55.36422997867201,73.16782402151223,62.30695942060132,41.14165860567872,30.505015611922943,25.747666782056864,26.707874684574467,14.813464253596356,11.837950768798649,12.364618936723497,20.02884271582241,37.13015637247852,65.9803246264969,85.56512037254141,92.80510079934739,73.36183435446814,46.93420496057138,35.243933498288435,32.30466065485856,15.983653625718611,13.141839324822646,12.365941428141626,22.147293245186464,37.7541183127742,70.24172840303399,93.2755624620163,81.47086793681645,56.235831953549614,44.790814270667084,29.185368381384794,23.562845261222876,16.560634221871542,11.485590624873927,11.666360924997436,19.621494860713625,38.48542149575415,45.94095439217904,74.62909385130307,54.778975155664256,38.848574366948576,26.934610226949573,30.539971362166273,30.13430372997526,17.851563647998272,11.429731824389982,15.126219345973254,21.158458504358737,34.41552505503252,67.02947739462887,81.3327858022061,75.30869869743735,59.963706300655055,39.86238658302894,33.556475772686206,29.600307580440546,17.970096070329994,12.436740254741343,15.345545840108464,21.57661014086472,41.62750516263639,63.625176396866,78.40844832801479,70.85310878931337,57.687967769591666,35.72934591703039,35.6888996878555,33.8305743909943,19.274999624746307,12.696002166365856
JACUI,111.76592685880708,94.74961555232751,65.1231501630938,58.073305417906504,40.02276909831463,45.842951361880644,61.35585775599889,73.39808372421322,101.73996490961311,113.7395424288727,123.44781634266441,129.42166273016238,112.83568356544724,88.20968206756122,63.80697006069904,42.34958016818512,37.33744228944766,46.16532711274755,62.790069131746826,71.24085816831281,101.45276935751521,97.99552814174227,111.97586244644653,122.75308585515955,81.9679855474921,79.8232361289298,58.067427125854834,51.803850650772524,37.32549411339272,44.02143854647952,57.64466798135834,57.24724818824536,79.37930764807311,116.93166919420655,116.35012179672208,121.44866097547043,98.66163888103146,91.07131461531937,62.79179523775306,39.24553776648967,41.36773281832508,46.154526101482816,63.656852411105824,68.85065498239346,88.43744185804432,98.99618223733125,124.13888152475097,117.66605458603101,103.05579037820719,95.09690055174337,67.37425960513944,44.92235861816173,40.95865464199388,38.21799962899814,48.299321464322304,69.89261086577777,87.1970870986054,113.38579607443337,137.27633986843543,127.18638060050078,101.14134505976249,89.48215352103699,61.02459625760961,46.49784315081386,30.42700568740649,39.76025871329485,51.57275863068667,60.264180065345606,82.55755319610991,95.87973392144443,113.6171464578769,120.20162818492116,101.02551901152407,91.49368274938426,59.58118385387118,45.364835899465525,31.364188948381653,36.85085582908416,50.763741335455315,56.621885751745175,89.52612227088905,105.62885121047852,122.45453482478898,123.31030686525234,113.85724258004491,98.15578118577129,63.0086311055451,41.26528269204469,37.63153598779295,43.12693177347469,52.573450184689854,67.42215211125583,91.18723911733758,106.58056583177934,123.14213675270214,112.93908601325002,99.98961522867292,90.60813148328704,67.25678637484124,43.059986833196035,35.138756588608196,37.67383968749042,49.95244917198659,68.14971694763013,93.09552043346771,110.77798483601104,105.99087130246262,119.4983708596538,117.04114804671315,105.21519341318951,60.21773819581002,43.71182619093697,33.9517934939146,34.46238565727971,57.72826643070886,71.5921705088701,90.22284493789356,103.15942106227459,131.52926974192394,128.08562480368292,101.45459851549184,92.10833851570665,69.58241576007998,44.5710842908421,36.75279493568858,42.94106807415782,51.18787321328446,66.30508398507804,89.090445856973,115.79237439513135,120.69848989247235,131.5405894338938,118.95789298018464,99.26067239467595,68.97300740429249,45.44475328526639,37.12700041984683,43.332566851596766,57.00372862157396,65.42626987675972,100.3232139184151,115.32945924448757,126.7997137483484
GAMBIA,13.738407663289157,12.290002975520364,12.748459381623837,14.404035398243174,44.91946243154279,92.84479111805962,106.71711506026372,105.7131866634192,101.3590622651489,73.85588350433927,50.27884960330699,35.786352371011866,25.397476445777624,19.944298579870956,14.015167407691697,23.579724158518275,56.61836011406717,87.13507962090375,98.93131765615101,108.49648235074959,86.82196221077032,52.58747862510655,33.523775034130665,21.752473228872265,14.880881115322842,14.639226102775652,10.449054117594278,25.77291234185733,55.993033309820085,94.13322577917044,101.82864382574297,105.61915939144927,100.911086153787,60.98959797410415,38.00573219093521,24.65418450417158,15.697180696780778,13.874933229400574,11.753088038671642,15.041865664537601,55.546433715805954,78.0740333005642,99.79923118541137,100.12619054711473,93.77474360423439,54.77632801749345,33.101786404407044,22.57821234339887,14.62864500689224,12.999950353036228,9.187690005793788,15.572713581376805,41.215354906620526,74.69679653737903,99.07806759359478,102.6770750605163,88.38280245986789,53.99155113703328,30.259857682141817,19.45539733931602,13.391818317091193,11.468971730119554,10.059086697500074,24.286900346653244,51.69505165212212,86.6372303614002,101.44558813356649,109.15692939331409,100.62417617507545,62.03164543709059,40.040462469068224,27.143669000933116,18.027198579100315,15.194745733227768,11.534091923186546,25.93022320391989,55.95874869221317,94.73016194332972,116.9130808145709,107.02634790912596,97.76286377560604,55.604825441399846,36.851472781356556,25.228998089525064,16.0059545097983,13.70224139119169,14.09221811163114,25.348936819124287,64.15392829674497,103.67179487192949,117.6198149726029,114.6481534458302,101.34316706571464,64.2502298965352,41.155436431645974,28.08194725690052,18.785818191826095,15.277338212542487,11.785392232650622,16.86637337238694,54.30420957615604,94.87173452169867,119.15080232705763,112.44988458032562,86.96660876499693,48.347640753891255,30.12137205426383,20.168752200242526,13.877438223597451,11.96532264905922,11.503809803422628,27.105789897849032,47.62639654368302,95.21711562691495,113.32837029855989,112.55813194315066,98.84667164789575,61.70706155900714,41.02897298973607,28.91898527545329,19.737671148784255,15.935410667186526,12.129581532668192,19.15540125884348,53.403424589431715,97.00398943736388,109.01355550849644,121.58372581523435,103.34817146538087,63.11243818073163,40.66612231382959,28.834256306049756,19.010211320264826,15.228096055861998,11.678052323555358,45.0878674305254,50.4881544827765,86.89803773903604,110.82312009994762,113.35972849511718,93.24698443543684,52.48664113765724,32.83045863152015
DNIESTR,6.403067322494766,12.385508205416633,34.430812600484565,93.58698829697416,96.92243525973572,87.52684871517339,88.81879355150777,43.932211021349254,14.792895913629762,5.342008480974435,5.420526884010081,4.9574895371733385,7.1484961823040996,15.599976003123357,42.446232497184695,72.78647989931137,98.88945226906294,91.06055945185774,74.0631517813928,43.08722950898086,17.81040771741807,8.04548868856565,2.9752612718963154,5.466692390096241,5.736412624613,15.436121935682818,37.22085721070789,76.38474391234121,93.66465170592913,104.52745519381658,79.17245097698353,55.30096846090422,23.83930091889258,6.601212829277903,5.8178686222549585,7.2340063360328655,6.790400950100783,11.710428361271,36.96708432123739,78.05168632042765,95.93259719011985,121.34289278246528,85.46306523818198,56.15495078495463,26.53383941622538,9.299291701161815,4.888758057783973,10.523273904021806,9.482670749007513,24.192129899983712,46.42559172177307,90.33160388577015,94.23560520662578,102.29198332254941,78.94598604766243,45.17248337577286,19.77942443811533,8.17966240948054,3.2815817033022334,5.989782787661878,9.425869062714392,22.588439887467047,40.176341285806174,78.3822965642671,108.13464660392674,103.33418379348969,93.34270344459524,45.568269995978746,21.575361361545486,9.818092329892623,7.346800174199765,4.90537849976729,7.702410574817599,17.839048359733436,51.001921154413516,84.75118261318936,101.0303371753606,102.2969362384667,75.64931510919781,42.42245442598493,18.731948018171078,7.255120841554432,5.003176246812636,4.153292803780398,2.4075607363000793,17.302548369517808,41.85557292486588,75.61062675461032,99.53976735794679,105.51938157291221,94.03566972857281,44.56729955740278,18.45481306436679,12.728741792812885,4.140182626933891,0.9250138634604795,7.910543302469082,15.168156670161466,44.355960865313484,82.94277815888661,100.00294438785521,100.01883852711437,86.92447412604717,47.0065518447004,17.18398391417391,4.409402428748597,3.2701297522530557,5.204565267428068,6.49925681239288,16.903569705813403,41.10218977895932,78.07501698462242,96.55493338693657,107.05272849868498,76.05169979543997,46.03820288913803,18.70240665864936,6.379885598231006,2.9535010081155413,1.0864504126074053,4.107915132201291,14.612289530279062,42.05151657952332,88.16379406874897,100.89407811175545,110.78161496080538,85.19304662617297,44.288580329726194,18.691529943229025,9.593208356059206,5.130985648540508,8.414339373972327,5.2148094387762916,24.408422072769863,44.55327970866556,83.01559967530578,103.27823726984728,110.71631554182854,87.5565370193794,48.59577282021113,19.363105764115968,7.262047120404545,4.73957650025961
SEINE,13.041443895618526,37.79351268154163,67.14785445194133,86.75498003621315,116.56983840672918,98.88016231124105,86.44522035070936,43.24743475112495,18.551428151584826,7.355271891099853,5.227958915704509,7.234419584408644,12.662552389833493,24.451768966435015,52.080236559361204,87.39786822584513,102.444823181599,90.74865047964677,67.77741147731413,52.92011597925826,24.25191277168187,4.881062050203279,1.4852446159633719,6.656236370966616,9.366524649134886,21.303468114775708,48.92481264175975,90.16937902133964,113.18059659982494,93.68677604464199,75.61703008023001,47.107358163705214,29.86615091133278,8.918601355176046,4.774154421745526,6.018554688614223,7.244132517711208,23.26565470139913,49.618757341189166,76.67543862627174,115.92281690683399,116.82922183830301,61.21789767586895,51.40649626300395,29.205282264990334,12.37151798404327,7.859279801493652,11.819724137829725,14.1619833191394,28.68619963983612,71.33008862008047,81.75791143215211,91.27229691746989,96.39898899797578,75.53203622997832,48.2559662134411,22.462906874616607,9.7460244547142,7.374194069356386,10.929661234654063,13.70481714560267,28.054245082058994,46.2060495158943,87.80801792557753,98.19598964429271,108.14001747621592,76.82628791227954,47.92653747541291,24.136485016704672,11.122566010920949,5.466465255813559,7.019286823567772,9.904814960541472,29.44572046920827,57.965795509836454,85.28724536589947,107.62278447413617,107.20724624336101,84.04349200661862,45.194341280476586,20.44137917090823,16.010117282698943,6.044929223091338,4.866659558446085,10.983163253871053,30.10306456469227,59.81178847119846,76.78234459924008,107.0958833911806,105.14515312841736,70.05798300561308,45.44931311783038,24.83899060322895,9.142166821215554,1.3211881180244551,3.195537465894191,8.252050163971685,29.8583769793281,67.36246799614297,87.48305957479693,89.62328282585531,83.79304328167053,73.00836433973029,46.27418948321624,23.106575876661868,7.752869574493872,10.128876133433115,7.934696487328972,10.182562155346872,32.14357815308884,46.80918572581586,78.28117864105594,87.48998620302523,96.55304529650697,81.3014983787722,49.22312073610016,25.494780584264593,8.740816706623013,8.574745468979534,4.992532446969936,10.739733501318524,22.78537238391175,51.59958894485464,62.99306321507012,96.00490770363645,117.27754199706315,81.3609450323495,44.494725335000226,24.582630966203563,11.054624680306526,9.258642339268526,11.546160006416718,18.201690801801814,34.40107994013335,59.15273021323471,79.45017513760699,111.1889301678237,91.64759799852726,70.07829619581202,47.15126742706141,24.899194984380074,11.034538524928953,6.6699201781938875
PO,15.021433557382048,32.545825065951114,49.81770892991298,84.66748225423542,111.15449875285128,113.57379177503815,96.13264517366264,48.94434211387941,23.057307628841105,8.792551720107829,9.986398915796611,10.137259016427027,14.059113196731195,24.481571692730167,42.641661260017116,71.18336633713484,101.46828352219295,108.60643138473563,87.63631580199531,55.282564435099424,20.239376894119324,13.35296891883749,7.199376222249609,9.131929565396856,12.27422453225518,23.955414818018557,44.107174126659906,83.70002741036365,96.32169614729294,108.56760262285849,83.97953300957116,50.37888827779145,22.15004834349182,11.387008101504165,6.498440799414873,6.762665084730103,9.280165091931826,23.51353236804647,46.40432207538645,78.3283477877094,102.71619952722419,109.50153410963674,84.56127160787894,54.21086408012636,30.480100406735158,14.004077777053515,8.391847251664817,10.381950420206012,13.947413566393912,32.31945782204492,54.62245869439522,76.829303417491,90.50825322767098,116.15039739703347,80.46369141980391,53.23916426008066,25.411898910567572,14.077244351567389,8.59688093394019,7.754334351111755,11.758850184434301,30.398009615962696,45.24314634582336,65.45951346112648,88.8226508809439,106.97770859155196,87.7688366327407,49.62670647838184,26.17201601027337,13.027654434346374,7.8925066173154095,6.0850969682880525,13.421718194943788,30.078074648133242,49.71731034319177,87.14999996202756,100.70883838011132,111.79920342838217,82.7458060711358,50.42009647157031,27.49216745521373,11.524423307975653,8.277627573751278,6.113762609263495,9.992279577031683,23.323602379565553,47.8338067744269,69.15963261934775,94.42225390073695,115.94250962343658,86.26058852078148,53.18642951973817,25.687779966029936,10.864762953046231,7.472765766404752,6.374741850639244,10.1853803443037,27.03610041466138,57.00340280141187,84.90805721316305,96.43056947958256,103.79194790219837,95.58017997761597,57.006256818417846,28.260417085012104,10.58025961905638,9.495682525998294,8.424644968436363,11.422021618660075,30.46571572897938,45.51702821132076,72.26591145370777,104.5938968968397,109.0164400000664,84.63517695771979,51.59474518598404,25.439731925300446,11.303193669239898,8.502095866998703,7.730074468914132,11.814299582517302,22.529419108633615,44.56864870475712,69.80360409955706,100.3860610106661,108.69485755430833,95.3121333663288,53.24386209310122,23.99255385336237,15.224212746653075,7.678214237020743,8.228170853392479,13.464218491017512,32.20336958357108,52.79186775008225,81.9755615764597,101.9690326453159,100.04800505921101,82.72715556077598,53.84738649766843,28.60038920565726,13.165172135906351,10.257705766698688
